Image Name,Views,Views Per Day,Category,Brightness,Contrast,Text Presence,Face Count,Dominant Color,Object Count
JfbnpYLe3Ms.jpg,1681125506,1872077.4,Sports,87.41002893518518,61.471904302969364,1,1,"(45, 41, 42)",5
sUKwTVAc0Vo.jpg,1202502532,1339089.68,Sports,73.26368055555555,63.6830091763086,1,0,"(0, 0, 0)",1
Ko18SgceYX8.jpg,605845488,871720.13,Sports,62.45645833333333,71.92747458025782,1,3,"(0, 0, 0)",3
1-s-xpgT7EE.jpg,582402251,748589.01,Sports,74.41375,57.17345524409567,1,0,"(29, 33, 36)",6
uIppJ6n6FD0.jpg,531992472,508111.24,Sports,65.63012152777777,47.500259759124525,1,0,"(31, 39, 15)",1
jpXKzRUNUPo.jpg,383916339,177821.37,Sports,110.94177662037038,74.85029639523636,1,1,"(0, 0, 0)",10
UXPB4Q3cutI.jpg,375138110,1667280.49,Sports,68.40635416666667,54.4796000419944,1,0,"(32, 32, 32)",11
CPvoejF9k2o.jpg,317433538,314290.63,Sports,91.2090798611111,71.108263960216,1,0,"(71, 67, 64)",1
6FzhgVv9o68.jpg,280177235,793703.22,Sports,62.071591435185184,51.77406709900202,1,0,"(27, 23, 24)",2
r_oMBmcsmX0.jpg,255680543,689165.88,Sports,63.29399884259259,51.94109215509324,1,0,"(35, 38, 45)",9
9bv0rBDxVrY.jpg,240447315,834886.51,Sports,86.58358217592593,64.44890691069035,1,0,"(62, 62, 62)",4
ZB_1riRjWPM.jpg,238007811,107114.23,Sports,121.58861689814815,93.20185260989041,1,0,"(0, 0, 0)",2
qMzO9lL81Cw.jpg,206156507,218386.13,Sports,90.83014467592592,56.32169574773442,1,0,"(46, 53, 59)",1
rZscmF0eENE.jpg,169408664,350017.9,Sports,68.66127893518518,51.37971791199497,1,1,"(39, 61, 58)",3
B2RlBX5fMb0.jpg,147341477,348325.0,Sports,73.30392939814814,65.19629632121962,1,1,"(55, 37, 35)",8
-miEltuQxto.jpg,141844673,214266.88,Sports,86.76838541666666,57.56164706055306,1,0,"(33, 29, 30)",3
NnNZLCl78Ao.jpg,134649444,229385.76,Sports,76.36023148148148,56.76452418105846,1,0,"(34, 49, 28)",3
_lyAEL4Wqao.jpg,134352857,37455.49,Sports,120.99186342592593,87.0408846754929,1,0,"(0, 0, 0)",4
cMMcaZVxUWA.jpg,133358235,116064.61,Sports,57.69787037037037,57.09075947317513,1,0,"(8, 8, 8)",5
sA_FtB4Etlg.jpg,126552276,368957.07,Sports,51.8323900462963,40.18468709648376,1,1,"(32, 32, 32)",5
F4dIxethVAY.jpg,123840200,177167.67,Sports,95.6716724537037,60.861811510403626,1,0,"(33, 52, 67)",2
CMk1U7zYZxk.jpg,122851263,252780.38,Sports,80.46190393518519,56.24090272184136,1,0,"(23, 63, 3)",3
W8JUDp9q_cI.jpg,118979309,130316.88,Sports,78.23293402777777,63.419861357900885,1,0,"(20, 20, 20)",9
ybvI_dJIc5E.jpg,117518997,562291.85,Sports,82.63170717592592,57.91899727906555,1,0,"(33, 37, 36)",0
1yf7OzfPFiY.jpg,115730026,190345.44,Sports,67.92307870370371,63.61156026476539,1,0,"(30, 26, 23)",1
su2YvRYHRm8.jpg,112409134,80695.72,Sports,29.65619212962963,32.41935760525122,1,0,"(0, 0, 0)",1
wAZ24Vt7Yuk.jpg,112453973,382496.51,Sports,63.68534143518519,64.52512179761344,1,0,"(10, 17, 27)",3
bPvuQKwujPY.jpg,108238492,107379.46,Sports,19.16011574074074,25.233978681119563,0,3,"(2, 2, 2)",6
hJjqXTxj8cs.jpg,106356643,101971.85,Sports,95.71027199074074,58.574896943089996,1,0,"(59, 56, 49)",2
SRjxCcL6cwg.jpg,105828599,101174.57,Sports,73.35210069444445,65.2635462088782,1,0,"(27, 47, 58)",13
3H_Z2DkSmXI.jpg,105245341,200467.32,Sports,64.99570601851852,59.594658831067676,1,0,"(25, 19, 29)",3
J8LQW3MpsB8.jpg,103336337,101210.91,Sports,21.448385416666667,27.439109951240564,0,0,"(4, 4, 4)",2
io1KgYFxs9s.jpg,98328094,197050.29,Sports,77.96703125,74.27116223150767,1,0,"(67, 71, 74)",2
kCiIqG8pKps.jpg,94700399,222301.41,Sports,70.4644675925926,52.679602502822966,1,0,"(26, 32, 48)",6
9WrLUc7zsQg.jpg,85871976,250355.62,Sports,56.31194444444444,67.74483319383019,1,0,"(0, 0, 0)",2
eoeIl02oH90.jpg,75649691,356838.17,Sports,45.76365740740741,48.75682346409122,1,0,"(14, 21, 31)",1
yennMjaJI1Q.jpg,73588109,60917.31,Sports,67.84560185185185,59.14752833357543,1,1,"(46, 56, 65)",5
KDNv9yijZUw.jpg,72921633,67395.22,Sports,72.52700231481481,59.699256986698614,1,1,"(14, 25, 29)",8
BRzdu1rp53g.jpg,72106607,70210.91,Sports,59.165289351851854,48.88748768937009,1,0,"(8, 8, 8)",4
Ict9xRkBt4o.jpg,71636128,57217.35,Sports,66.17014467592593,55.9987693408293,1,0,"(22, 22, 22)",3
BWV1f3Y-J9U.jpg,70352018,88271.04,Sports,50.43397569444444,71.5771757444392,1,1,"(2, 1, 6)",5
ghoLMIqEqFM.jpg,68028997,55398.21,Sports,70.69533564814814,48.91382105582081,1,0,"(40, 36, 33)",1
EGKpIOVDXEc.jpg,67558001,140745.84,Sports,58.920659722222226,55.95912499671613,1,0,"(23, 19, 20)",9
KmJrjqciye4.jpg,65814781,62148.05,Sports,45.76467592592593,57.077218081902444,1,2,"(4, 4, 4)",1
1af7esCt-Yc.jpg,65078460,264546.59,Sports,72.86231481481481,59.060692662631226,1,0,"(38, 26, 26)",2
CJ1rauF6ras.jpg,63823752,67395.73,Sports,62.56803819444445,63.53951599616036,1,0,"(26, 27, 22)",8
dwV04XuiWq4.jpg,62990557,28987.83,Sports,101.39936921296297,70.56771579365163,1,0,"(0, 0, 0)",3
7uBpwcn2ZZ0.jpg,61272594,207703.71,Sports,73.69559027777778,84.3372625978505,1,2,"(0, 0, 0)",2
etcJMBZ0L_I.jpg,60624529,166550.9,Sports,87.01787615740741,61.2571667094314,1,0,"(54, 44, 35)",3
kSq5Gfj8PwU.jpg,54373336,132942.14,Sports,70.71504050925925,66.96359626821106,1,1,"(12, 12, 12)",3
